"Epoch (UTC)",""
2013-02-14T01:12:34.405Z,0.30223
2013-02-14T01:12:45.261Z,0.16016
2013-02-14T01:12:56.117Z,0.75044
2013-02-14T01:13:06.972Z,0.36840
2013-02-14T01:13:17.828Z,NaN
2013-02-14T01:13:28.684Z,0.56704
2013-02-14T01:13:39.540Z,0.95507
2013-02-14T01:13:50.396Z,1.4779
2013-02-14T01:14:01.251Z,0.62539
2013-02-14T01:14:12.107Z,0.97649
2013-02-14T01:14:22.963Z,1.3724
2013-02-14T01:14:33.819Z,0.89388
2013-02-14T01:14:44.675Z,1.2320
2013-02-14T01:14:55.530Z,0.58454
2013-02-14T01:15:06.386Z,0.85132
2013-02-14T01:15:17.242Z,1.1841
2013-02-14T01:15:28.098Z,1.3883
2013-02-14T01:15:38.954Z,1.1768
2013-02-14T01:15:49.809Z,2.3338
2013-02-14T01:16:00.665Z,1.7398
2013-02-14T01:16:11.521Z,0.96800
2013-02-14T01:16:22.377Z,0.51965
2013-02-14T01:16:33.233Z,0.92462
2013-02-14T01:16:44.088Z,1.7210
2013-02-14T01:16:54.944Z,0.83070
2013-02-14T01:17:05.800Z,1.2769
2013-02-14T01:17:16.656Z,0.86241
2013-02-14T01:17:27.512Z,1.8911
2013-02-14T01:17:38.367Z,1.0361
2013-02-14T01:17:49.223Z,1.3239
2013-02-14T01:18:00.079Z,1.4844
2013-02-14T01:18:10.935Z,1.8477
2013-02-14T01:18:21.791Z,1.5194
2013-02-14T01:18:32.646Z,1.7440
2013-02-14T01:18:43.502Z,1.3949
2013-02-14T01:18:54.358Z,1.1897
2013-02-14T01:19:05.214Z,1.7717
2013-02-14T01:19:16.070Z,1.6650
2013-02-14T01:19:26.925Z,1.6847
2013-02-14T01:19:37.781Z,2.2799
2013-02-14T01:19:48.637Z,1.4527
2013-02-14T01:19:59.493Z,2.0702
2013-02-14T01:20:10.349Z,1.3400
2013-02-14T01:20:21.204Z,1.6425
2013-02-14T01:20:32.060Z,1.9115
2013-02-14T01:20:42.916Z,1.3784
2013-02-14T01:20:53.772Z,0.75048
2013-02-14T01:21:04.628Z,2.0192
2013-02-14T01:21:15.483Z,1.7125
2013-02-14T01:21:26.339Z,1.2153
2013-02-14T01:21:37.195Z,1.4348
2013-02-14T01:21:48.051Z,1.4359
2013-02-14T01:21:58.906Z,0.96792
2013-02-14T01:22:09.762Z,1.5939
2013-02-14T01:22:20.618Z,1.5170
2013-02-14T01:22:31.474Z,1.1719
2013-02-14T01:22:42.329Z,1.4971
2013-02-14T01:22:53.185Z,0.67015
2013-02-14T01:23:04.041Z,1.1496
2013-02-14T01:23:14.897Z,1.3679
2013-02-14T01:23:25.753Z,1.5819
2013-02-14T01:23:36.608Z,2.0632
2013-02-14T01:23:47.464Z,2.3144
2013-02-14T01:23:58.320Z,2.2908
2013-02-14T01:24:09.176Z,2.0915
2013-02-14T01:24:20.032Z,1.7210
2013-02-14T01:24:30.887Z,1.7110
2013-02-14T01:24:41.743Z,1.8517
2013-02-14T01:24:52.599Z,1.7844
2013-02-14T01:25:03.455Z,1.2585
2013-02-14T01:25:14.311Z,1.3712
2013-02-14T01:25:25.166Z,1.7955
2013-02-14T01:25:36.022Z,1.2869
2013-02-14T01:25:46.878Z,1.5691
2013-02-14T01:25:57.734Z,1.2969
2013-02-14T01:26:08.589Z,1.3984
2013-02-14T01:26:19.445Z,0.79869
2013-02-14T01:26:30.301Z,1.2740
2013-02-14T01:26:41.157Z,1.0831
2013-02-14T01:26:52.013Z,1.0056
2013-02-14T01:27:02.868Z,0.92594
2013-02-14T01:27:13.724Z,0.92563
2013-02-14T01:27:24.580Z,0.96993
2013-02-14T01:27:35.436Z,0.75741
2013-02-14T01:27:46.291Z,0.83754
2013-02-14T01:27:57.147Z,1.2273
2013-02-14T01:28:08.003Z,0.96774
2013-02-14T01:28:18.859Z,0.80605
2013-02-14T01:28:29.714Z,0.84341
2013-02-14T01:28:40.570Z,1.2227
2013-02-14T01:28:51.426Z,1.1873
2013-02-14T01:29:02.282Z,1.1642
2013-02-14T01:29:13.138Z,0.79929
2013-02-14T01:29:23.993Z,0.81540
2013-02-14T01:29:34.849Z,1.1709
2013-02-14T01:29:45.705Z,1.1686
2013-02-14T01:29:56.561Z,0.75719
2013-02-14T01:30:07.416Z,0.98781
2013-02-14T01:30:18.272Z,0.94664
2013-02-14T01:30:29.128Z,1.2924
2013-02-14T01:30:39.984Z,0.94826
2013-02-14T01:30:50.839Z,0.82340
2013-02-14T01:31:01.695Z,1.2782
2013-02-14T01:31:12.551Z,1.2560
2013-02-14T01:31:23.407Z,1.0817
2013-02-14T01:31:34.263Z,1.1672
2013-02-14T01:31:45.118Z,1.3220
2013-02-14T01:31:55.974Z,0.98827
2013-02-14T01:32:06.830Z,0.88061
2013-02-14T01:32:17.686Z,1.0301
2013-02-14T01:32:28.541Z,1.3724
2013-02-14T01:32:39.397Z,1.3999
2013-02-14T01:32:50.253Z,1.2785
2013-02-14T01:33:01.109Z,1.1484
2013-02-14T01:33:11.964Z,1.0525
2013-02-14T01:33:22.820Z,1.5346
2013-02-14T01:33:33.676Z,1.3067
2013-02-14T01:33:44.532Z,0.99952
2013-02-14T01:33:55.388Z,1.2682
2013-02-14T01:34:06.243Z,1.2643
2013-02-14T01:34:17.099Z,1.1046
2013-02-14T01:34:27.955Z,1.0339
2013-02-14T01:34:38.811Z,0.99117
2013-02-14T01:34:49.666Z,0.89326
2013-02-14T01:35:00.522Z,0.76317
2013-02-14T01:35:11.378Z,0.97972
2013-02-14T01:35:22.234Z,0.89184
2013-02-14T01:35:33.089Z,0.87581
2013-02-14T01:35:43.945Z,0.51941
2013-02-14T01:35:54.801Z,0.61360
